Season,Week,Team,Day,Date,Win,OT,Home,Opp,Off_Pts,Def_Pts,G,Spread,Total,Point_Diff,Spread_Covered,Actual_vs_Expected
2014,5,JAX,Sun,October 5,0,0,1,PIT,9,17,5,6.0,47.5,-8,0,-21.5
2014,6,JAX,Sun,October 12,0,0,0,OTI,14,16,6,4.0,42.5,-2,1,-12.5
2014,7,JAX,Sun,October 19,1,0,1,CLE,24,6,7,4.0,45.0,18,1,-15.0
2014,8,JAX,Sun,October 26,0,0,1,MIA,13,27,8,7.0,42.5,-14,0,-2.5
2014,9,JAX,Sun,November 2,0,0,0,CIN,23,33,9,10.0,44.0,-10,0,12.0
2014,10,JAX,Sun,November 9,0,0,1,DAL,17,31,10,7.5,45.0,-14,0,3.0
2014,12,JAX,Sun,November 23,0,0,0,CLT,3,23,11,13.5,49.0,-20,0,-23.0
2014,13,JAX,Sun,November 30,1,0,1,NYG,25,24,12,3.0,44.0,1,1,5.0
2014,14,JAX,Sun,December 7,0,0,1,HTX,13,27,13,6.5,42.0,-14,0,-2.0
2014,15,JAX,Sun,December 14,0,0,0,RAV,12,20,14,13.5,45.0,-8,1,-13.0
2014,16,JAX,Thu,December 18,1,0,1,OTI,21,13,15,-4.5,39.0,8,1,-5.0
2014,17,JAX,Sun,December 28,0,0,0,HTX,17,23,16,7.5,38.0,-6,1,2.0
2014,1,KAN,Sun,September 7,0,0,1,OTI,10,26,1,-3.5,43.0,-16,0,-7.0
2014,2,KAN,Sun,September 14,0,0,0,DEN,17,24,2,11.5,50.5,-7,1,-9.5
2014,3,KAN,Sun,September 21,1,0,0,MIA,34,15,3,3.5,42.5,19,1,6.5
2014,4,KAN,Mon,September 29,1,0,1,NWE,41,14,4,3.0,46.0,27,1,9.0
2014,5,KAN,Sun,October 5,0,0,0,SFO,17,22,5,5.0,44.0,-5,0,-5.0
2014,7,KAN,Sun,October 19,1,0,0,SDG,23,20,6,3.0,46.0,3,1,-3.0
2014,8,KAN,Sun,October 26,1,0,1,RAM,34,7,7,-7.0,44.0,27,1,-3.0
2014,9,KAN,Sun,November 2,1,0,1,NYJ,24,10,8,-8.5,41.5,14,1,-7.5
2014,10,KAN,Sun,November 9,1,0,0,BUF,17,13,9,1.5,42.0,4,1,-12.0
2014,11,KAN,Sun,November 16,1,0,1,SEA,24,20,10,0.0,42.5,4,1,1.5
2014,12,KAN,Thu,November 20,0,0,0,RAI,20,24,11,-7.0,42.5,-4,0,1.5
2014,13,KAN,Sun,November 30,0,0,1,DEN,16,29,12,0.0,49.5,-13,0,-4.5
2014,14,KAN,Sun,December 7,0,0,0,CRD,14,17,13,-2.5,41.0,-3,0,-10.0
2014,15,KAN,Sun,December 14,1,0,1,RAI,31,13,14,-10.0,41.5,18,1,2.5
2014,16,KAN,Sun,December 21,0,0,0,PIT,12,20,15,2.5,49.5,-8,0,-17.5
2014,17,KAN,Sun,December 28,1,0,1,SDG,19,7,16,-2.5,42.5,12,1,-16.5
2014,1,SDG,Mon,September 8,0,0,0,CRD,17,18,1,3.0,45.0,-1,1,-10.0
2014,2,SDG,Sun,September 14,1,0,1,SEA,30,21,2,5.5,44.0,9,1,7.0
2014,3,SDG,Sun,September 21,1,0,0,BUF,22,10,3,2.5,45.5,12,1,-13.5
2014,4,SDG,Sun,September 28,1,0,1,JAX,33,14,4,-12.5,45.0,19,1,2.0
2014,5,SDG,Sun,October 5,1,0,1,NYJ,31,0,5,-6.5,43.5,31,1,-12.5
2014,6,SDG,Sun,October 12,1,0,0,RAI,31,28,6,-7.5,44.0,3,0,15.0
2014,7,SDG,Sun,October 19,0,0,1,KAN,20,23,7,-3.0,46.0,-3,0,-3.0
2014,8,SDG,Thu,October 23,0,0,0,DEN,21,35,8,9.0,51.0,-14,0,5.0
2014,9,SDG,Sun,November 2,0,0,0,MIA,0,37,9,3.0,45.0,-37,0,-8.0
2014,11,SDG,Sun,November 16,1,0,1,RAI,13,6,10,-10.0,45.0,7,0,-26.0
2014,12,SDG,Sun,November 23,1,0,1,RAM,27,24,11,-5.0,43.5,3,0,7.5
2014,13,SDG,Sun,November 30,1,0,0,RAV,34,33,12,6.5,45.5,1,1,21.5
2014,14,SDG,Sun,December 7,0,0,1,NWE,14,23,13,4.0,54.0,-9,0,-17.0
